,ECG,Lead,Config,PCC,RMSE,MAE,DTW
0,0,I,0,0.75,0.281,0.247,0.079
1,0,I,1,0.969,0.055,0.04,0.003
2,0,I,2,0.81,0.153,0.122,0.024
3,0,I,3,0.907,0.139,0.116,0.019
4,0,I,4,0.905,0.173,0.143,0.03
5,0,I,5,0.919,0.214,0.191,0.046
6,0,I,6,0.859,0.145,0.105,0.021
7,0,I,7,0.951,0.136,0.109,0.019
8,0,I,8,0.827,0.16,0.121,0.026
9,0,I,9,0.299,0.412,0.345,0.17
10,0,I,10,0.759,0.191,0.139,0.037
11,0,I,11,0.796,0.196,0.156,0.038
12,0,I,12,0.851,0.169,0.147,0.028
13,0,I,13,0.871,0.159,0.114,0.025
14,0,I,14,0.563,0.248,0.194,0.061
15,0,I,15,0.931,0.097,0.073,0.009
16,0,I,16,0.58,0.361,0.347,0.13
17,0,II,0,0.417,0.347,0.289,0.121
18,0,II,1,0.96,0.067,0.05,0.004
19,0,II,2,0.857,0.146,0.117,0.021
20,0,II,3,0.949,0.108,0.088,0.012
21,0,II,4,0.54,0.411,0.352,0.169
22,0,II,5,0.953,0.169,0.152,0.028
23,0,II,6,0.944,0.072,0.048,0.005
24,0,II,7,0.727,0.348,0.291,0.121
25,0,II,8,0.934,0.123,0.082,0.015
26,0,II,9,0.412,0.258,0.198,0.067
27,0,II,10,0.733,0.223,0.164,0.05
28,0,II,11,0.078,0.337,0.247,0.114
29,0,II,12,0.804,0.148,0.117,0.022
30,0,II,13,0.891,0.121,0.088,0.015
31,0,II,14,0.791,0.26,0.221,0.068
32,0,II,15,0.908,0.14,0.11,0.02
33,0,II,16,0.453,0.528,0.501,0.279
34,0,III,0,0.284,0.366,0.286,0.134
35,0,III,1,0.56,0.336,0.261,0.113
36,0,III,2,0.369,0.393,0.319,0.154
37,0,III,3,0.302,0.394,0.333,0.155
38,0,III,4,0.707,0.561,0.546,0.315
39,0,III,5,0.569,0.3,0.256,0.09
40,0,III,6,0.462,0.483,0.462,0.234
41,0,III,7,0.919,0.21,0.154,0.044
42,0,III,8,0.855,0.141,0.068,0.02
43,0,III,9,0.083,0.491,0.445,0.242
44,0,III,10,0.351,0.279,0.219,0.078
45,0,III,11,0.576,0.27,0.237,0.073
46,0,III,12,-0.109,0.493,0.415,0.243
47,0,III,13,0.436,0.232,0.165,0.054
48,0,III,14,0.142,0.622,0.575,0.386
49,0,III,15,0.003,0.313,0.25,0.098
50,0,III,16,0.501,0.222,0.182,0.049
51,0,AVR,0,0.69,0.288,0.252,0.083
52,0,AVR,1,0.981,0.048,0.036,0.002
53,0,AVR,2,0.928,0.1,0.074,0.01
54,0,AVR,3,0.978,0.058,0.045,0.003
55,0,AVR,4,0.849,0.16,0.13,0.026
56,0,AVR,5,0.989,0.047,0.036,0.002
57,0,AVR,6,0.926,0.086,0.056,0.007
58,0,AVR,7,0.748,0.333,0.27,0.111
59,0,AVR,8,0.925,0.109,0.08,0.012
60,0,AVR,9,0.486,0.37,0.313,0.137
61,0,AVR,10,0.769,0.2,0.139,0.04
62,0,AVR,11,0.574,0.248,0.185,0.062
63,0,AVR,12,0.87,0.193,0.164,0.037
64,0,AVR,13,0.924,0.12,0.092,0.014
65,0,AVR,14,0.835,0.137,0.111,0.019
66,0,AVR,15,0.955,0.081,0.065,0.007
67,0,AVR,16,0.45,0.511,0.494,0.262
68,0,AVL,0,0.584,0.287,0.221,0.083
69,0,AVL,1,0.78,0.195,0.144,0.038
70,0,AVL,2,0.712,0.281,0.237,0.079
71,0,AVL,3,0.271,0.38,0.314,0.144
72,0,AVL,4,0.883,0.395,0.378,0.156
73,0,AVL,5,0.213,0.421,0.365,0.177
74,0,AVL,6,0.589,0.285,0.248,0.082
75,0,AVL,7,0.944,0.155,0.112,0.024
76,0,AVL,8,0.809,0.295,0.212,0.087
77,0,AVL,9,0.188,0.452,0.392,0.205
78,0,AVL,10,0.614,0.279,0.221,0.078
79,0,AVL,11,0.851,0.253,0.23,0.064
80,0,AVL,12,0.61,0.246,0.189,0.061
81,0,AVL,13,0.581,0.268,0.183,0.072
82,0,AVL,14,-0.475,0.623,0.57,0.388
83,0,AVL,15,0.797,0.182,0.152,0.033
84,0,AVL,16,0.587,0.176,0.099,0.031
85,0,AVF,0,0.047,0.464,0.381,0.216
86,0,AVF,1,0.847,0.149,0.119,0.022
87,0,AVF,2,0.568,0.29,0.229,0.084
88,0,AVF,3,0.754,0.28,0.246,0.078
89,0,AVF,4,-0.032,0.67,0.645,0.449
90,0,AVF,5,0.867,0.241,0.214,0.058
91,0,AVF,6,0.979,0.043,0.031,0.002
92,0,AVF,7,0.87,0.248,0.182,0.062
93,0,AVF,8,0.931,0.112,0.073,0.013
94,0,AVF,9,0.2,0.522,0.479,0.272
95,0,AVF,10,0.553,0.348,0.282,0.121
96,0,AVF,11,-0.301,0.324,0.276,0.105
97,0,AVF,12,0.317,0.328,0.278,0.108
98,0,AVF,13,0.761,0.158,0.115,0.025
99,0,AVF,14,0.588,0.413,0.375,0.171
100,0,AVF,15,0.442,0.352,0.305,0.124
101,0,AVF,16,0.362,0.346,0.322,0.12
102,0,V1,0,0.858,0.143,0.107,0.021
103,0,V1,1,0.826,0.177,0.138,0.031
104,0,V1,2,0.738,0.196,0.164,0.038
105,0,V1,3,0.57,0.23,0.198,0.053
106,0,V1,4,0.988,0.059,0.048,0.003
107,0,V1,5,0.852,0.249,0.226,0.062
108,0,V1,6,0.885,0.202,0.182,0.041
109,0,V1,7,0.984,0.075,0.056,0.006
110,0,V1,8,0.932,0.11,0.082,0.012
111,0,V1,9,0.768,0.392,0.354,0.153
112,0,V1,10,0.704,0.177,0.135,0.031
113,0,V1,11,0.092,0.473,0.427,0.223
114,0,V1,12,0.404,0.52,0.444,0.27
115,0,V1,13,0.677,0.346,0.316,0.119
116,0,V1,14,0.741,0.172,0.115,0.03
117,0,V1,15,0.311,0.443,0.366,0.196
118,0,V1,16,-0.012,0.257,0.164,0.066
119,0,V2,0,0.818,0.196,0.154,0.038
120,0,V2,1,0.836,0.217,0.195,0.047
121,0,V2,2,0.764,0.178,0.136,0.032
122,0,V2,3,0.757,0.205,0.161,0.042
